Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										5.841E+2	1.362E-4		
										5.845E+2	1.436E-4		
										5.848E+2	1.389E-4		
										5.851E+2	1.834E-4		
										5.855E+2	1.747E-4		
										5.858E+2	1.989E-4		
										5.862E+2	2.172E-4		
										5.865E+2	1.726E-4		
										5.868E+2	1.861E-4		
										5.872E+2	1.625E-4		
										5.875E+2	2.111E-4		
										5.879E+2	2.381E-4		
										5.882E+2	2.340E-4		
										5.885E+2	1.996E-4		
										5.889E+2	2.482E-4		
										5.892E+2	2.522E-4		
										5.896E+2	2.563E-4		
										5.899E+2	2.603E-4		
										5.903E+2	2.826E-4		
										5.906E+2	2.765E-4		
										5.909E+2	2.832E-4		
										5.913E+2	2.873E-4		
										5.916E+2	2.711E-4		
										5.920E+2	3.244E-4		
										5.923E+2	3.541E-4		
										5.926E+2	3.487E-4		
										5.930E+2	3.412E-4		
										5.933E+2	3.858E-4		
										5.937E+2	3.574E-4		
										5.940E+2	3.804E-4		
										5.943E+2	3.831E-4		
										5.947E+2	4.309E-4		
										5.950E+2	4.175E-4		
										5.954E+2	4.640E-4		
										5.957E+2	4.505E-4		
										5.960E+2	4.876E-4		
										5.964E+2	4.923E-4		
										5.967E+2	5.078E-4		
										5.971E+2	5.267E-4		
										5.974E+2	5.247E-4		
										5.978E+2	5.328E-4		
										5.981E+2	6.036E-4		
										5.984E+2	6.103E-4		
										5.988E+2	6.346E-4		
										5.991E+2	6.913E-4		
										5.995E+2	7.027E-4		
										5.998E+2	7.236E-4		
										6.001E+2	7.405E-4		
										6.005E+2	7.668E-4		
										6.008E+2	7.742E-4		
										6.012E+2	8.477E-4		
										6.015E+2	8.862E-4		
										6.018E+2	9.246E-4		
										6.022E+2	9.624E-4		
										6.025E+2	1.022E-3		
										6.028E+2	1.008E-3		
